source_row,domain,site_id,list_url,careers_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
2437,complyauto.applicantpro.com,17124,https://complyauto.applicantpro.com/core/jobs/17124?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://complyauto.applicantpro.com/jobs/,200,1,https://complyauto.applicantpro.com/jobs/4154323,Safety Specialist,,0.68
2441,comsonics.applicantpro.com,5232,https://comsonics.applicantpro.com/core/jobs/5232?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://comsonics.applicantpro.com/jobs/,200,10,https://comsonics.applicantpro.com/jobs/4116333,Assembler,,0.64
2463,constructionrobots.applicantpro.com,7578,https://constructionrobots.applicantpro.com/core/jobs/7578?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://constructionrobots.applicantpro.com/jobs/,200,2,https://constructionrobots.applicantpro.com/jobs/3813171,Mechanical Engineer,,0.53
2512,cota.applicantpro.com,4842,https://cota.applicantpro.com/core/jobs/4842?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cota.applicantpro.com/jobs/,200,8,https://cota.applicantpro.com/jobs/4143840,Bus Operator,,0.64
2553,criticalsolutionsit.applicantpro.com,9593,https://criticalsolutionsit.applicantpro.com/core/jobs/9593?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://criticalsolutionsit.applicantpro.com/jobs/,200,4,https://criticalsolutionsit.applicantpro.com/jobs/4140169,Insider Threat Program Hunt Team Analyst (w/ active TS/SCI),,0.58
2574,csengineering.applicantpro.com,16002,https://csengineering.applicantpro.com/core/jobs/16002?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://csengineering.applicantpro.com/jobs/,200,15,https://csengineering.applicantpro.com/jobs/4084796,Business Process Subject Matter Specialist (SAFe Business Coach),,0.54
2602,cuchicago.applicantpro.com,3024,https://cuchicago.applicantpro.com/core/jobs/3024?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cuchicago.applicantpro.com/jobs/,200,15,https://cuchicago.applicantpro.com/jobs/3959482,Academic Support Coordinator,,0.64
2603,cuisinesolutionsandegs.applicantpro.com,11857,https://cuisinesolutionsandegs.applicantpro.com/core/jobs/11857?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cuisinesolutionsandegs.applicantpro.com/jobs/,200,12,https://cuisinesolutionsandegs.applicantpro.com/jobs/4019885,Ammonia Refrigeration Technician-San Antonio,,0.61
2619,cwcapital.applicantpro.com,18549,https://cwcapital.applicantpro.com/core/jobs/18549?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cwcapital.applicantpro.com/jobs/,200,4,https://cwcapital.applicantpro.com/jobs/4160456,Asset Management Analyst,,0.61
2637,daemen.applicantpro.com,1013,https://daemen.applicantpro.com/core/jobs/1013?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://daemen.applicantpro.com/jobs/,200,48,https://daemen.applicantpro.com/jobs/2852756,1st Shift Housekeeping,,0.66
