"state","city_key","city"
"AL","epes","Epes"
"AL","equality","Equality"
"AL","ethelsville","Ethelsville"
"AL","eufaula","Eufaula"
"AL","eunola","Eunola"
"AL","eutaw","Eutaw"
"AL","eva","Eva"
"AL","evergreen","Evergreen"
"AL","excel","Excel"
"AL","fairfield","Fairfield"
"AL","fairford","Fairford"
"AL","fairhope","Fairhope"
"AL","fairview","Fairview"
"AL","falkville","Falkville"
"AL","faunsdale","Faunsdale"
"AL","fayette","Fayette"
"AL","fayetteville","Fayetteville"
"AL","fitzpatrick","Fitzpatrick"
"AL","five points","Five Points"
"AL","flomaton","Flomaton"
"AL","florala","Florala"
"AL","florence","Florence"
"AL","foley","Foley"
"AL","forestdale","Forestdale"
"AL","forkland","Forkland"
"AL","fort deposit","Fort Deposit"
"AL","fort novosel","Fort Novosel"
"AL","fort payne","Fort Payne"
"AL","franklin","Franklin"
"AL","fredonia","Fredonia"
"AL","frisco city","Frisco City"
"AL","fruitdale","Fruitdale"
"AL","fruithurst","Fruithurst"
"AL","fulton","Fulton"
"AL","fultondale","Fultondale"
"AL","fyffe","Fyffe"
"AL","gadsden","Gadsden"
"AL","gainesville","Gainesville"
"AL","gallant","Gallant"
"AL","gantt","Gantt"
"AL","garden city","Garden City"
"AL","gardendale","Gardendale"
"AL","gaylesville","Gaylesville"
"AL","geiger","Geiger"
"AL","geneva","Geneva"
"AL","georgiana","Georgiana"
"AL","geraldine","Geraldine"
"AL","gilbertown","Gilbertown"
"AL","glen allen","Glen Allen"
"AL","glencoe","Glencoe"
"AL","glenwood","Glenwood"
"AL","goldville","Goldville"
"AL","good hope","Good Hope"
"AL","goodwater","Goodwater"
"AL","gordo","Gordo"
"AL","gordon","Gordon"
"AL","gordonville","Gordonville"
"AL","goshen","Goshen"
"AL","graham","Graham"
"AL","grand bay","Grand Bay"
"AL","grant","Grant"
"AL","grayson valley","Grayson Valley"
"AL","graysville","Graysville"
"AL","greensboro","Greensboro"
"AL","greenville","Greenville"
"AL","grimes","Grimes"
"AL","grove hill","Grove Hill"
"AL","guin","Guin"
"AL","gulf shores","Gulf Shores"
"AL","gulfcrest","Gulfcrest"
"AL","guntersville","Guntersville"
"AL","gurley","Gurley"
"AL","gu-win","Gu-Win"
"AL","hackleburg","Hackleburg"
"AL","hackneyville","Hackneyville"
"AL","haleburg","Haleburg"
"AL","haleyville","Haleyville"
"AL","hamilton","Hamilton"
"AL","hammondville","Hammondville"
"AL","hanceville","Hanceville"
"AL","hanover","Hanover"
"AL","harpersville","Harpersville"
"AL","hartford","Hartford"
"AL","hartselle","Hartselle"
"AL","harvest","Harvest"
"AL","hatton","Hatton"
"AL","hayden","Hayden"
"AL","hayneville","Hayneville"
"AL","hazel green","Hazel Green"
"AL","headland","Headland"
"AL","heath","Heath"
"AL","heflin","Heflin"
"AL","helena","Helena"
"AL","henagar","Henagar"
"AL","highland lake","Highland Lake"
"AL","highland lakes","Highland Lakes"
"AL","hillsboro","Hillsboro"
"AL","hissop","Hissop"
"AL","hobson","Hobson"
"AL","hobson city","Hobson City"
"AL","hodges","Hodges"
"AL","hokes bluff","Hokes Bluff"
"AL","hollins","Hollins"
"AL","hollis crossroads","Hollis Crossroads"
"AL","holly pond","Holly Pond"
"AL","hollywood","Hollywood"
"AL","holt","Holt"
"AL","holtville","Holtville"
"AL","homewood","Homewood"
"AL","hoover","Hoover"
"AL","horn hill","Horn Hill"
"AL","hueytown","Hueytown"
"AL","huguley","Huguley"
"AL","huntsville","Huntsville"
"AL","hurtsboro","Hurtsboro"
"AL","hytop","Hytop"
"AL","ider","Ider"
"AL","indian springs village","Indian Springs Village"
"AL","irondale","Irondale"
"AL","ivalee","Ivalee"
"AL","jackson","Jackson"
"AL","jacksons' gap","Jacksons' Gap"
"AL","jacksonville","Jacksonville"
"AL","jasper","Jasper"
"AL","jemison","Jemison"
"AL","joppa","Joppa"
"AL","kansas","Kansas"
"AL","kellyton","Kellyton"
"AL","kennedy","Kennedy"
"AL","killen","Killen"
"AL","kimberly","Kimberly"
"AL","kinsey","Kinsey"
"AL","kinston","Kinston"
"AL","la fayette","La Fayette"
"AL","ladonia","Ladonia"
"AL","lake view","Lake View"
"AL","lakeview","Lakeview"
"AL","lanett","Lanett"
"AL","langston","Langston"
"AL","leeds","Leeds"
"AL","leesburg","Leesburg"
"AL","leighton","Leighton"
"AL","leroy","Leroy"
"AL","lester","Lester"
"AL","level plains","Level Plains"
"AL","lexington","Lexington"
"AL","libertyville","Libertyville"
"AL","lillian","Lillian"
"AL","lincoln","Lincoln"
"AL","linden","Linden"
"AL","lineville","Lineville"
"AL","lipscomb","Lipscomb"
"AL","lisman","Lisman"
"AL","littleville","Littleville"
"AL","livingston","Livingston"
"AL","loachapoka","Loachapoka"
"AL","lockhart","Lockhart"
"AL","locust fork","Locust Fork"
"AL","lookout mountain","Lookout Mountain"
"AL","louisville","Louisville"
"AL","lowndesboro","Lowndesboro"
"AL","loxley","Loxley"
"AL","luverne","Luverne"
"AL","lynn","Lynn"
"AL","macedonia","Macedonia"
"AL","madison","Madison"
"AL","madrid","Madrid"
"AL","magnolia springs","Magnolia Springs"
"AL","malcolm","Malcolm"
"AL","malvern","Malvern"
"AL","maplesville","Maplesville"
"AL","marbury","Marbury"
"AL","margaret","Margaret"
"AL","marion","Marion"
"AL","maytown","Maytown"
"AL","mccalla","McCalla"
"AL","mcdonald chapel","McDonald Chapel"
"AL","mcintosh","McIntosh"
"AL","mckenzie","McKenzie"
"AL","mcmullen","McMullen"
"AL","meadowbrook","Meadowbrook"
"AL","megargel","Megargel"
"AL","memphis","Memphis"
"AL","mentone","Mentone"
