source_row,domain,site,api_url,careers_url,status_code,validated,total_jobs,sample_job_id,sample_title,sample_company,sample_job_url,error,elapsed_seconds
3871,hdpc.fa.us2.oraclecloud.com,CX_3001,"https://hdpc.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_3001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001,200,True,134,151739,2026 | Americas | Sao Paulo | Operations | Seasonal/Off Cycle Internship,Global Banking & Markets,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001/job/151739,,2.74
3872,hdpn.fa.us6.oraclecloud.com,CX_1,"https://hdpn.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdpn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,243,5881,RH7446 - Prod Asst I,BWAY Corporation,https://hdpn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/5881,,2.12
3875,hdsn.fa.us6.oraclecloud.com,CX_1,"https://hdsn.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdsn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,48,2816,Alternant(e) / Stagiaire – Gestion de projet & Data (Construction & Developpement),US,https://hdsn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2816,,2.05
4025,hza.fa.us1.oraclecloud.com,CX_2024,"https://hza.fa.us1.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_2024,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hza.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2024,200,True,11,568,UK ERP Cloud Solution Architect,ERP,https://hza.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2024/job/568,,1.72
4028,iaagiz.fa.ocs.oraclecloud.com,CX_1,"https://iaagiz.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://iaagiz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,172,22267,Senior Consultant - Emerging Platforms,Bristlecone India Limited,https://iaagiz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/22267,,3.37
4029,iaaviz.fa.ocs.oraclecloud.com,CX_1,"https://iaaviz.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://iaaviz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,41,7214,Future Sales Opportunities Germany - Expression Of Interest,Icertis,https://iaaviz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/7214,,3.20
4030,iabcbn.fa.ocs.oraclecloud.com,CX_1,"https://iabcbn.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://iabcbn.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,54,1318,Assistant(e) RH - Alternance (H/F),DLL Group,https://iabcbn.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1318,,2.59
4031,iaings.fa.ocs.oraclecloud.com,CX_1,"https://iaings.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://iaings.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,71,29,Tech Support Engineer III,Sinch AB (publ),https://iaings.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/29,,2.01
4032,ialmme.fa.ocs.oraclecloud.com,CX_1001,"https://ialmme.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://ialmme.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,200,True,299,4131,Senior .NET Engineer,.NET Poland,https://ialmme.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/4131,,2.09
4033,iaotqy.fa.ocs.oraclecloud.com,CX_1,"https://iaotqy.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://iaotqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,30,493,Part-Time Assistant Coach - Throws Men's & Women's Track and Field,Ursinus College,https://iaotqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/493,,1.82
4034,iaoxqy.fa.ocs.oraclecloud.com,CX_1001,"https://iaoxqy.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://iaoxqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,200,True,77,12036,TECH- STERILE PROC/DISTRIB,RADIOLOGY,https://iaoxqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/12036,,1.87
4035,iapiqy.fa.ocs.oraclecloud.com,CX_1,"https://iapiqy.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://iapiqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,15,223,Director of Retirement,Massachusetts Port Authority,https://iapiqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/223,,2.12
